,name,booth,link,note,description
0,2CGaming,3648,http://www.2cgaming.com/,,
1,9th Level Games,3423,http://9thlevel.com/wp/,Demo table also available in RPG Library (Room 119A),
2,Active Player Network,3622,http://activeplayernetwork.com/,,
3,Adventure Away,3500,,," Adventure Away is the first D&D B&B. This event company offers weekend tabletop gaming retreats in Maryland. Guests are treated to comfortable accommodations for two nights, 5 catered meals, and 12 hours of Dungeons and Dragons 5e led by our resident DM. Private parties are also available, including gaming in a 1920's castle. Perfect for Birthdays, Bachelor Parties, Corporate Retreats, or Anniversary Parties. Stop by our booth for pricing "
4,AEGIS Combining Robots,3708,,,
5,Albino Dragon,3807,http://www.albinodragon.com/,,
6,Alderac Entertainment Group,2813,http://alderac.com,,
7,Alley Cat Games,3331,https://www.alleycatgames.com/,,
8,Almost a Game,3255,http://almostagame.com/,,
9,Amigo Games,3938,https://www.amigo.games/,,
10,Anomia Press,2937,http://www.anomiapress.com/,,
11,Anvil Eight Games,3522,http://www.anvil-eight.com/,,
12,Arcane Wonders,2739,http://arcanewonders.com,,
13,Archon Games,3637,https://www.archongames.net/,,
14,Arcknight,3608,http://www.arcknight.com,,
15,Ares Games,3437,http://aresgames.eu,,
16,Arkenforge,3647,http://ArmorClass10.com,,
17,ArmorClass10.com,3923,http://ArmorClass10.com,,
18,Asmadi Games,3013,http://asmadigames.com,,
19,Asmodee North America,2423,,," The best location for fun is at the Asmodee booth! It’s a one-stop destination to check out some of the hottest new titles all in one place. Dive under the sea in Deep Blue from Days of Wonder or escape the clutches of an evil wizard in Obscurio from Libellud. You’ll also be able to try out exciting new games from Repos Productions, Cranio Creations, Lookout Games, Hub Games, and Mixlore. If you’re looking for your next favorite game, you’ll find it at our booth! "
20,Atlas Games,3330,,," Atlas Games has been publishing award-winning card, board, and roleplaying games — including Gloom, Once Upon a Time, and Ars Magica — since 1990. Our 2019 releases include Godsforge, Gloom of Thrones, and Over the Edge. "
21,Atomic Mass Games,2631,https://www.atomicmassgames.com%0D/,,
22,Battleground Games,TT03,https://www.battlegroundgames.com/,Tabletop Freeplay Retailer,
23,Bezier Games,2733,,," Bezier Games makes fun, surprising games for friends and family. Our games are accessible for all ages, but contain depth and nuance that bring experienced players back to the table. Variable play in our games creates a fresh experience every time. And our rich themes pull you into the game and bring you back for one more when it’s over. Games such as One Night Ultimate Werewolf and Castles of Mad King Ludwig are available at hobby and mass market stores worldwide. Bezier Games makes the new classics—the first game you open on game night and the last one you put away. "
24,Bicycle,2554,https://www.bicyclecards.com/,,
25,Big Cat Games,TT04,,First Look Retailer,
26,Big Potato Games,3655,,," Big Potato are a indie board games company from London, UK. Creators of the multi award-winning games THE CHAMELEON, WEIRD THINGS HUMANS SEARCH FOR and LINKEE, they have recreated a Blockbuster store full of retro goodness to promote their newest release: BLOCKBUSTER: THE GAME. Come and step back in time! "
27,Blood on the Clocktower,TT06,https://www.kickstarter.com/projects/pandemoniuminstitute/blood-on-the-clocktower,Social Games Zone Exhibitor,
28,Blue Orange Games,3347,http://blueorangegames.com,,
29,Board and Dice s.c.,3847,http://boardanddice.com/en/,,
30,BoardGameTables.com,3913,https://www.boardgametables.com/,,
31,Breaking Games,2707,https://breakinggames.com/,,
32,Brotherwise Games,3037,,," Brotherwise Games was started by two brothers with a passion for games and game design. We make light, thematic games designed to bring everyone to the table. "
33,Burning Wheel,3530,,,No details provided.
34,Button Shy Games,3257,http://buttonshygames.com/,,
35,Calliope Games,2807,https://www.calliopegames.com/,,
36,Capstone Games,2847,,," Based in Ohio, Capstone Games provides premium, high quality board games that feature rich, evolving gameplay! "
37,CardTitan.com,3047,https://www.cardtitan.com/,,
38,Carolina Game Tables,3207,http://carolinagametables.com,,
39,CATAN Studio,2623,https://www.catan.com%0D/,,
40,Cephalofair Games,3131,http://www.cephalofair.com,,
41,Certifiable Studios,3549,,," In addition to its flagship game, Who Goes There? (based on the novella that was adapted into The Thing), Certifiable Studios is the creator of Endangered Orphans, Stuffed, D6, and Bottletop Chicks. With the recent release of four puzzles inspired by its gaming properties and with various toy, apparel, book, and film projects on the horizon, the company has its sights set on becoming a complete creative house. "
42,Chaosium Inc.,3831,http://www.chaosium.com/,,
43,Child's Play,2859,,,No details provided.
44,Chip Theory Games,2947,https://chiptheorygames.com/,,
45,CMON,2535,http://cmon.com,,
46,CoolStuffInc.com,2823,https://www.coolstuffinc.com/,,
47,Copper Frog Games,3609,http://copperfroggames.com/,,
48,Crafty Games,3031,http://crafty-games.com,," Crafty Games is the exclusive home for Mistborn hobby game products, based on the New York Times best-selling novel series by Brandon Sanderson. This robust series includes the Mistborn Adventure Game, Mistborn: House War, and custom Mistborn dice sets in both acrylic and metal. Crafty Games also publishes Little Wizards, a starter RPG by Antoine Bauza designed to introduce kids aged 6 to 10 to the hobby we all know and love, and the upcoming second edition of Storm Hollow. For more info, visit crafty-games.com. "
49,Cranio Creations,2423,http://craniointernational.com/,,
50,Critsuccess LLC,3700,http://critsuccess.com,,
51,Czech Games Edition,Room 120C,http://czechgames.com,,
52,Days of Wonder,2423,https://www.daysofwonder.com%0D/,,
53,D&D Beyond,DD01,https://www.dndbeyond.com/,RPG Hall Exhibitor,
